"variable_id","cor_male","p_male","cor_female","p_female","p_female_fdr","p_male_fdr"
"protein_2633",-0.428869587117642,2.74965066589762e-05,-0.300129913145908,0.000299366750758814,0.00374717998875341,0.000579791930733895
"protein_2665",-0.535218955531539,6.52674532941762e-08,-0.700803990100282,3.89330760818565e-22,1.52695524393041e-19,3.64192984884599e-06
"protein_2863",-0.447095856746804,1.12120972925696e-05,-0.280448662584214,0.000756171625808495,0.00792969282465486,0.000285544451827649
"protein_2867",-0.533237380527269,7.4502067672892e-08,-0.32035913840651,0.000107606105988504,0.0015920818561464,4.06836402522113e-06
"protein_2900",-0.660424385613396,1.90668457091818e-12,-0.632066574961799,4.27188000073555e-17,8.10692582075072e-15,2.73585983675893e-10
"protein_2934",-0.305512087415467,0.00359811605596567,-0.347169602024624,2.46851371842354e-05,0.000462492554314831,0.0279996253402725
"protein_2947",-0.403397958901992,8.86281001995982e-05,-0.279984969687031,0.00077224624529203,0.00805518556924293,0.00150259110511307
"protein_2962",-0.752430167525506,1.88375565631067e-17,-0.762718232241877,4.32200200824793e-28,6.35658445363064e-25,6.15674140337538e-15
"protein_2964",-0.345423087291284,0.000915384217016266,-0.510896317141136,9.61980411679056e-11,6.15144648033466e-09,0.0100470249043035
"protein_2971",-0.346187994069871,0.000890070225638743,-0.367139598728924,7.52980690262803e-06,0.000171677247088461,0.0098426374763773
"protein_2990",-0.683247609431697,1.62068842882428e-13,-0.655790533407895,1.09384331814403e-18,2.38336305208938e-16,2.80426765493331e-11
"protein_3059",-0.374595578321903,0.000298508712055827,-0.323151242835283,9.28920815568759e-05,0.00143058669057356,0.00406510822459358
"protein_3179",-0.360184468947342,0.000526152913385701,-0.354789842933285,1.58397823103552e-05,0.000321329101144205,0.0064086078456482
"protein_3191",-0.45045958861532,9.44740303622712e-06,-0.478207134846157,2.00872549512631e-09,1.01002838357505e-07,0.000248120857420197
"protein_3199",-0.379325688303436,0.000246400378263467,-0.427017288351942,1.28826584533953e-07,4.40631858612352e-06,0.0034761952645659
"protein_3293",-0.334999124536721,0.00133217706432197,-0.327680912412671,7.29542356659116e-05,0.00117508773537447,0.0133512737127873
"protein_3295",-0.491835404484413,9.84021978757545e-07,-0.358051431617325,1.30541822923189e-05,0.000274277694377543,3.73483954905203e-05
"protein_3314",-0.588357495085003,1.33471075139968e-09,-0.500698792700925,2.56985413080894e-10,1.52711634864131e-08,1.07563059595675e-07
"protein_3355",-0.484143602004837,1.53267742039668e-06,-0.352583350117558,1.80324347000558e-05,0.000357187923705146,5.53174310686727e-05
"protein_3361",-0.33736710814395,0.00122470881246328,-0.345620807083542,2.69770139019276e-05,0.000497510259514231,0.0125741046138246
"protein_3427",-0.396988340507923,0.000117261433935819,-0.25038539249645,0.00274852849864459,0.0222721668836448,0.00187969759085674
"protein_3449",-0.557115659814744,1.42667252316204e-08,-0.568000388070184,2.04978916290577e-13,2.0791223526508e-11,9.64725799283022e-07
"protein_3478",-0.313903050105025,0.00273907410328986,-0.428654772390062,1.13943185983699e-07,3.92004539849181e-06,0.022615434431964
